"http://snomed.info/sct","251286000","Extracorporeal gas exchange duration (observable entity)"
"http://snomed.info/sct","251288004","Extracorporeal gas exchange flow rate (observable entity)"
"http://snomed.info/sct","251289007","Extracorporeal gas exchange flow index (observable entity)"
"http://snomed.info/sct","252076005","Venous pressure (observable entity)"
"http://snomed.info/sct","386534000","Arterial blood pressure (observable entity)"
"http://snomed.info/sct","401000124105","Hemodialysis blood flow (observable entity)"
"http://snomed.info/sct","444479000","Rate of blood flow through cardiovascular device (observable entity)"
"http://snomed.info/sct","445940005","Duration of hemodialysis session (observable entity)"
"http://snomed.info/sct","708513005","Substitution flow rate (observable entity)"
"http://snomed.info/sct","708514004","Substitution volume (observable entity)"
"http://snomed.info/sct","79063001","Gas flow rate (v) (observable entity)"
